item_id,name,category,type,cell_type,description,need_coin,need_ticket,need_money,size,cost,area,revenue,revenue_interval,revenue_up,production_time,setting_limit,sub_parts_id,open_item_id,revenue_up2,add_coin
1,普通の水槽,1,3,1,超普通の水槽。大きさが小さいのであまりお魚が入らないのが難点。,30,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2,砂の水槽,1,3,1,砂の地面の水槽。砂に隠れるお魚が喜ぶこと間違いなし！,300,0,0,2,3,0,0,0,0,0,0,0,0,0,0
3,岩の水槽,1,3,1,岩がある水槽。岩陰に隠れたいお魚にお勧め！,3000,0,0,2,5,0,0,0,0,0,0,0,0,0,0
4,海藻の水槽,1,3,1,海藻が生えている水槽。お魚が快適に過ごせる。,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0
5,渦巻きの水槽,1,3,1,大きな渦を巻いている水槽。アトラクション好きの魚に人気。,1000,0,0,4,10,0,0,0,0,0,0,0,1,0,0
6,大きな岩の水槽,1,3,1,岩山がそびえ立つ水槽。岩の間に潜みたい魚に人気。,10000,0,0,4,12,0,0,0,0,0,0,0,1,0,0
7,珊瑚の水槽,1,3,1,珊瑚が綺麗な水槽、サンゴ礁に住み着く魚の為につくられました。,0,1,0,4,15,0,0,0,0,0,0,0,1,0,0
8,熱帯の水槽,1,3,1,熱帯に住む魚の為の水槽。どこかアマゾンな感じが漂う。,0,3,0,4,15,0,0,0,0,0,0,0,1,0,0
9,沈没船の水槽,1,3,1,沈没船が沈んでいる水槽。沈没船はお魚のお家と化している。,30000,0,0,6,25,0,0,0,0,0,0,0,5,0,0
10,竜宮城の水槽,1,3,1,竜宮城が入っている水槽。その美しさにお魚たちもウットリ。,0,1,0,6,30,0,0,0,0,0,0,0,5,0,0
11,海底火山の水槽,1,3,1,海底火山がが言っている水槽。とても迫力がある。,0,3,0,6,35,0,0,0,0,0,0,0,5,0,0
12,底なし穴の水槽,1,3,1,底なし穴がある水槽。噂では地球の裏側まで繋がっているらしい。,0,5,0,6,35,0,0,0,0,0,0,0,5,0,0
13,オフィス,2,4,1,お魚たちのお世話をする係員を雇うことの出来る施設。,500,0,0,2,3,5,0,0,0,0,0,0,0,0,0
14,お魚型オフィス,2,4,1,より多くの係員を雇え、更に施設が見ることのできる範囲も大きい。,0,1,0,2,5,7,0,0,0,0,0,0,0,0,0
15,歩道,3,1,3,お客様が通る歩道。歩道に面した施設の売上は1.5倍になる。,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,ポップコーン,3,2,2,みんな大好きポップコーンを自動で販売する機械。,60,0,0,1,0,0,5,45,0,0,0,0,0,0,0
17,自動販売機,3,2,2,喉が渇いた時に必須！ジュースを売ってお金を稼いでくれる。,100,0,0,1,0,0,45,120,0,0,0,0,0,0,0
18,トイレ,3,2,2,トイレがないすいぞく館は大問題。このトイレは利用量を取ってくれる。,150,0,0,1,0,0,80,300,0,0,0,0,0,0,0
19,売店,3,2,2,色んな商品を売っているお店。今なら売店のおばちゃん付き。,1200,0,0,2,0,0,200,900,0,0,0,0,0,0,0
20,おみやげ屋,3,2,2,すいぞく館限定のおみやげを販売するより販売額の大きなお店。,0,3,0,2,0,0,3300,1800,0,0,0,0,17,0,0
21,レストラン,3,2,2,お腹が減った時に立ち寄るレストラン。多くのお客さんが利用する。,15000,0,0,3,0,0,1500,2700,0,0,0,0,17,0,0
22,お魚レストラン,3,2,2,大きな大きなレストラン。利用客も多く沢山のお金を稼ぐ。,0,5,0,5,0,0,24000,5400,0,0,0,0,17,0,0
23,噴水,3,5,2,すいぞく館全体の売上が1.5倍になる。,100000,0,0,2,0,0,0,0,150,0,1,0,0,150,0
24,すいぞく館のシンボル,3,5,2,すいぞく館全体の売上が3倍になる。,0,15,0,4,0,0,0,0,300,0,1,0,0,300,0
25,拡張1,4,98,4,すいぞく館の敷地を上方向に5マス分大きくする。,10000,0,0,0,0,1,0,0,0,0,1,0,0,0,0
26,拡張2,4,98,4,すいぞく館の敷地を上方向に5マス分大きくする。,200000,0,0,0,0,2,0,0,0,0,1,0,25,0,0
27,拡張3,4,98,4,すいぞく館の敷地を上方向に5マス分大きくする。,0,3,0,0,0,3,0,0,0,0,1,0,26,0,0
28,拡張4,4,98,4,すいぞく館の敷地を上方向に5マス分大きくする。,0,5,0,0,0,4,0,0,0,0,1,0,27,0,0
29,拡張5,4,98,4,すいぞく館の敷地を上方向に5マス分大きくする。,0,10,0,0,0,5,0,0,0,0,1,0,28,0,0
30,チケット10枚,5,99,4,※実際にお金がかかります。,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
31,チケット55枚,5,99,4,5枚分お得!!※実際にお金がかかります。,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
32,チケット125枚,5,99,4,35枚分お得!!※実際にお金がかかります。,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0
33,チケット350枚,5,99,4,150枚分お得!!※実際にお金がかかります。,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
34,チケット800枚,5,99,4,420枚分お得!!※実際にお金がかかります。,0,0,3800,0,0,0,0,0,0,0,0,0,0,0,0
35,コイン1000G,6,97,4,チケットをコインに両替出来ます。,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000
36,コイン5500G,6,97,4,500G分お得!!チケットをコインに両替出来ます。,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5500
37,コイン125000G,6,97,4,115000G分お得!!チケットをコインに両替出来ます。,0,5,0,0,0,0,0,0,0,0,0,0,0,0,125000
38,コイン500000G,6,97,4,480000G分お得!!チケットをコインに両替出来ます。,0,10,0,0,0,0,0,0,0,0,0,0,0,0,500000
999,入場ゲート,-1,-1,-1,チケットをコインに両替出来ます。,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
